Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
70.000	2.0000	0.69617	1.4364	688.57	975.86	32.504	6.3924	10.643	689.91	0.27315	3.1582e-06	0.050474	vapor
71.000	2.0000	0.68617	1.4574	695.04	986.51	32.655	6.4073	10.654	694.56	0.26627	3.1928e-06	0.051070	vapor
72.000	2.0000	0.67646	1.4783	701.51	997.17	32.804	6.4229	10.666	699.16	0.25959	3.2272e-06	0.051666	vapor
73.000	2.0000	0.66702	1.4992	708.00	1007.8	32.951	6.4391	10.678	703.70	0.25311	3.2614e-06	0.052262	vapor
74.000	2.0000	0.65785	1.5201	714.51	1018.5	33.097	6.4561	10.692	708.19	0.24683	3.2955e-06	0.052858	vapor
75.000	2.0000	0.64893	1.5410	721.03	1029.2	33.240	6.4737	10.706	712.63	0.24072	3.3294e-06	0.053454	vapor
76.000	2.0000	0.64025	1.5619	727.56	1039.9	33.382	6.4919	10.721	717.01	0.23479	3.3630e-06	0.054051	vapor
77.000	2.0000	0.63181	1.5828	734.11	1050.7	33.522	6.5108	10.737	721.35	0.22903	3.3965e-06	0.054648	vapor
78.000	2.0000	0.62358	1.6036	740.69	1061.4	33.661	6.5303	10.753	725.63	0.22342	3.4299e-06	0.055246	vapor
79.000	2.0000	0.61558	1.6245	747.27	1072.2	33.798	6.5504	10.771	729.87	0.21798	3.4631e-06	0.055844	vapor
80.000	2.0000	0.60777	1.6454	753.88	1083.0	33.934	6.5711	10.789	734.06	0.21268	3.4961e-06	0.056444	vapor
81.000	2.0000	0.60017	1.6662	760.51	1093.8	34.068	6.5923	10.807	738.21	0.20753	3.5289e-06	0.057044	vapor
82.000	2.0000	0.59275	1.6870	767.16	1104.6	34.201	6.6141	10.827	742.31	0.20252	3.5616e-06	0.057644	vapor
83.000	2.0000	0.58552	1.7079	773.83	1115.4	34.332	6.6365	10.847	746.36	0.19764	3.5941e-06	0.058246	vapor
84.000	2.0000	0.57846	1.7287	780.52	1126.3	34.462	6.6594	10.867	750.37	0.19289	3.6265e-06	0.058849	vapor
85.000	2.0000	0.57158	1.7495	787.23	1137.1	34.591	6.6827	10.888	754.35	0.18827	3.6587e-06	0.059453	vapor
86.000	2.0000	0.56485	1.7704	793.97	1148.0	34.718	6.7066	10.910	758.28	0.18376	3.6908e-06	0.060059	vapor
87.000	2.0000	0.55829	1.7912	800.72	1159.0	34.844	6.7309	10.932	762.17	0.17938	3.7227e-06	0.060665	vapor
88.000	2.0000	0.55188	1.8120	807.51	1169.9	34.969	6.7556	10.955	766.02	0.17510	3.7545e-06	0.061273	vapor
89.000	2.0000	0.54561	1.8328	814.31	1180.9	35.093	6.7808	10.978	769.84	0.17094	3.7862e-06	0.061882	vapor
90.000	2.0000	0.53949	1.8536	821.14	1191.9	35.216	6.8063	11.002	773.62	0.16688	3.8177e-06	0.062493	vapor
91.000	2.0000	0.53350	1.8744	827.99	1202.9	35.338	6.8322	11.026	777.36	0.16293	3.8490e-06	0.063105	vapor
92.000	2.0000	0.52765	1.8952	834.87	1213.9	35.458	6.8585	11.051	781.07	0.15907	3.8803e-06	0.063718	vapor
93.000	2.0000	0.52193	1.9160	841.78	1225.0	35.578	6.8851	11.076	784.75	0.15531	3.9114e-06	0.064333	vapor
94.000	2.0000	0.51632	1.9368	848.71	1236.1	35.697	6.9121	11.101	788.39	0.15165	3.9424e-06	0.064950	vapor
95.000	2.0000	0.51084	1.9575	855.67	1247.2	35.814	6.9393	11.127	792.01	0.14807	3.9732e-06	0.065568	vapor
96.000	2.0000	0.50548	1.9783	862.65	1258.3	35.931	6.9668	11.153	795.59	0.14459	4.0039e-06	0.066187	vapor
97.000	2.0000	0.50023	1.9991	869.66	1269.5	36.047	6.9946	11.179	799.14	0.14118	4.0345e-06	0.066808	vapor
