architecture,t_cbt,t_hxt,eta_hpfp,eta_r,p_cbt,qm_cb0,t0,p0,tpr_hx,Q_hx,pcc,v
dual,310,180,0.71,0.71,1330000.0,0.11,25.2,345000.0,0.95,149000.0,True,0
P_hpfp,P_rv,p_hpfp
43938.63373297121,38236.90788236664,1889366.2728249198
Q,Q_phc
429098.52325932874,280098.52325932874
qm_cb,qm_phc/qm_t,qm_r,qm_v,qm,m_z
0.11,0.002351488214227003,0.08797339496208238,0.012236354784508772,0.112351488214227,0.2351488214227003
number of iterations,20,Execution time: ,12.363181829452515
