1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298
0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.002,0.003,0.003,0.004,0.004,0.007,0.009,0.011,0.014,0.016,0.019,0.021,0.023,0.026,0.033,0.039,0.046,0.052,0.059,0.066,0.072,0.08,0.091,0.101,0.112,0.122,0.133,0.143,0.154,0.164,0.175,0.187,0.199,0.211,0.223,0.235,0.246,0.258,0.27,0.282,0.294,0.306,0.317,0.327,0.337,0.346,0.356,0.366,0.376,0.386,0.396,0.406,0.416,0.426,0.435,0.445,0.452,0.459,0.466,0.473,0.48,0.487,0.494,0.501,0.508,0.515,0.522,0.529,0.536,0.541,0.546,0.55,0.554,0.558,0.563,0.567,0.571,0.575,0.58,0.584,0.588,0.592,0.597,0.601,0.605,0.609,0.614,0.618,0.622,0.625,0.628,0.63,0.633,0.635,0.638,0.64,0.643,0.645,0.648,0.651,0.653,0.656,0.658,0.661,0.663,0.666,0.668,0.671,0.673,0.676,0.679,0.681,0.684,0.686,0.689,0.691,0.692,0.693,0.694,0.695,0.696,0.698,0.699,0.7,0.701,0.702,0.703,0.704,0.705,0.706,0.707,0.708,0.71,0.711,0.712,0.713,0.714,0.715,0.716,0.717,0.718,0.718,0.719,0.72,0.72,0.721,0.722,0.722,0.723,0.724,0.724,0.725,0.726,0.727,0.727,0.728,0.729,0.729,0.73,0.731,0.731,0.732,0.733,0.733,0.733,0.734,0.734,0.734,0.734,0.735,0.735,0.735,0.736,0.736,0.736,0.736,0.737,0.737,0.737,0.737,0.738,0.738,0.738,0.738,0.739,0.739,0.739,0.739,0.74,0.74,0.74,0.74,0.741,0.741,0.741,0.741,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746
1,1,1,1,1,1,1,1,1,1,1,1,1,0.999,0.999,0.998,0.998,0.997,0.997,0.996,0.996,0.993,0.991,0.989,0.986,0.984,0.981,0.979,0.977,0.974,0.967,0.961,0.954,0.948,0.941,0.934,0.928,0.92,0.909,0.899,0.888,0.878,0.867,0.857,0.846,0.836,0.825,0.813,0.801,0.789,0.777,0.765,0.754,0.742,0.73,0.718,0.706,0.694,0.683,0.673,0.663,0.654,0.644,0.634,0.624,0.614,0.604,0.594,0.584,0.574,0.565,0.555,0.548,0.541,0.534,0.527,0.52,0.513,0.506,0.499,0.492,0.485,0.478,0.471,0.464,0.459,0.454,0.45,0.446,0.442,0.437,0.433,0.429,0.425,0.42,0.416,0.412,0.408,0.403,0.399,0.395,0.391,0.386,0.382,0.378,0.375,0.372,0.37,0.367,0.365,0.362,0.36,0.357,0.355,0.352,0.349,0.347,0.344,0.342,0.339,0.337,0.334,0.332,0.329,0.327,0.324,0.321,0.319,0.316,0.314,0.311,0.309,0.308,0.307,0.306,0.305,0.304,0.302,0.301,0.3,0.299,0.298,0.297,0.296,0.295,0.294,0.293,0.292,0.29,0.289,0.288,0.287,0.286,0.285,0.284,0.283,0.282,0.282,0.281,0.28,0.28,0.279,0.278,0.278,0.277,0.276,0.276,0.275,0.274,0.273,0.273,0.272,0.271,0.271,0.27,0.269,0.269,0.268,0.267,0.267,0.267,0.266,0.266,0.266,0.266,0.265,0.265,0.265,0.264,0.264,0.264,0.264,0.263,0.263,0.263,0.263,0.262,0.262,0.262,0.262,0.261,0.261,0.261,0.261,0.26,0.26,0.26,0.26,0.259,0.259,0.259,0.259,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254
