Temperature (K),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (Pa*s),Therm. Cond. (W/m*K),Phase
272.5,30,2.6203,0.38163,2431.8,3576.7,38.084,10.093,14.29,1285.1,-0.02647,8.3915E-06,0.17672,supercritical
273.5,30,2.6108,0.38302,2442,3591,38.137,10.099,14.294,1287.3,-0.026681,8.4125E-06,0.17722,supercritical
274.5,30,2.6014,0.38441,2452.1,3605.3,38.189,10.104,14.298,1289.4,-0.02689,8.4334E-06,0.17772,supercritical
275.5,30,2.5921,0.38579,2462.2,3619.6,38.241,10.109,14.303,1291.6,-0.027098,8.4543E-06,0.17822,supercritical
276.5,30,2.5828,0.38718,2472.4,3633.9,38.293,10.114,14.307,1293.8,-0.027304,8.4752E-06,0.17871,supercritical
277.5,30,2.5736,0.38856,2482.5,3648.2,38.344,10.118,14.311,1296,-0.027508,8.4961E-06,0.17921,supercritical
278.5,30,2.5644,0.38995,2492.7,3662.5,38.396,10.123,14.315,1298.1,-0.027711,0.000008517,0.1797,supercritical
279.5,30,2.5553,0.39134,2502.8,3676.8,38.447,10.128,14.319,1300.3,-0.027911,8.5378E-06,0.18019,supercritical
280.5,30,2.5463,0.39272,2513,3691.2,38.498,10.133,14.323,1302.4,-0.028111,8.5586E-06,0.18068,supercritical
281.5,30,2.5374,0.39411,2523.2,3705.5,38.549,10.137,14.327,1304.6,-0.028308,8.5794E-06,0.18118,supercritical
282.5,30,2.5285,0.39549,2533.3,3719.8,38.6,10.142,14.331,1306.7,-0.028504,8.6001E-06,0.18166,supercritical
283.5,30,2.5197,0.39688,2543.5,3734.2,38.651,10.146,14.335,1308.9,-0.028699,8.6209E-06,0.18215,supercritical
284.5,30,2.5109,0.39826,2553.7,3748.5,38.701,10.15,14.339,1311,-0.028892,8.6416E-06,0.18264,supercritical
285.5,30,2.5022,0.39965,2563.9,3762.8,38.752,10.155,14.342,1313.2,-0.029083,8.6623E-06,0.18313,supercritical
286.5,30,2.4936,0.40103,2574.1,3777.2,38.802,10.159,14.346,1315.3,-0.029273,0.000008683,0.18361,supercritical
287.5,30,2.485,0.40242,2584.3,3791.5,38.852,10.163,14.35,1317.5,-0.029461,8.7037E-06,0.1841,supercritical
288.5,30,2.4764,0.4038,2594.5,3805.9,38.902,10.167,14.353,1319.6,-0.029648,8.7243E-06,0.18458,supercritical
289.5,30,2.468,0.40519,2604.7,3820.2,38.951,10.171,14.357,1321.7,-0.029833,8.7449E-06,0.18506,supercritical
290.5,30,2.4596,0.40657,2614.9,3834.6,39.001,10.175,14.36,1323.8,-0.030017,8.7655E-06,0.18555,supercritical
