Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
28.443	0.62000	58.392	0.017126	97.940	108.56	4.0923	6.1913	19.095	805.90	0.28717	7.2940e-06	0.097961	0.00057418	7.6804	0.13020	374.10	454.82	16.266	7.1954	22.224	379.67	11.872	1.5444e-06	0.032123
28.535	0.63000	58.188	0.017186	99.448	110.28	4.1465	6.1992	19.353	800.87	0.31224	7.2399e-06	0.097791	0.00056010	7.8193	0.12789	373.67	454.24	16.200	7.2108	22.555	379.68	11.807	1.5533e-06	0.032401
28.627	0.64000	57.983	0.017246	100.95	111.99	4.2006	6.2072	19.617	795.85	0.33758	7.1863e-06	0.097621	0.00054624	7.9592	0.12564	373.23	453.64	16.135	7.2262	22.895	379.68	11.742	1.5622e-06	0.032681
28.717	0.65000	57.778	0.017307	102.46	113.71	4.2543	6.2152	19.888	790.83	0.36320	7.1334e-06	0.097449	0.00053257	8.1003	0.12345	372.78	453.02	16.070	7.2418	23.246	379.68	11.678	1.5711e-06	0.032964
28.806	0.66000	57.573	0.017369	103.96	115.42	4.3079	6.2233	20.166	785.82	0.38911	7.0811e-06	0.097276	0.00051911	8.2425	0.12132	372.31	452.39	16.005	7.2574	23.607	379.68	11.615	1.5800e-06	0.033250
28.895	0.67000	57.368	0.017431	105.45	117.13	4.3613	6.2315	20.452	780.81	0.41532	7.0294e-06	0.097101	0.00050585	8.3858	0.11925	371.84	451.73	15.941	7.2732	23.980	379.66	11.552	1.5890e-06	0.033539
28.982	0.68000	57.162	0.017494	106.95	118.85	4.4144	6.2398	20.746	775.79	0.44185	6.9782e-06	0.096926	0.00049278	8.5304	0.11723	371.35	451.06	15.877	7.2890	24.364	379.65	11.489	1.5980e-06	0.033832
29.069	0.69000	56.955	0.017558	108.45	120.56	4.4674	6.2482	21.049	770.78	0.46871	6.9275e-06	0.096749	0.00047991	8.6761	0.11526	370.85	450.37	15.813	7.3049	24.761	379.62	11.426	1.6071e-06	0.034127
29.154	0.70000	56.748	0.017622	109.94	122.27	4.5203	6.2567	21.360	765.76	0.49591	6.8773e-06	0.096571	0.00046722	8.8232	0.11334	370.33	449.67	15.750	7.3209	25.171	379.60	11.364	1.6162e-06	0.034426
29.239	0.71000	56.540	0.017687	111.43	123.99	4.5730	6.2653	21.681	760.74	0.52347	6.8276e-06	0.096392	0.00045471	8.9716	0.11146	369.80	448.94	15.687	7.3370	25.594	379.57	11.302	1.6254e-06	0.034729
29.323	0.72000	56.332	0.017752	112.93	125.71	4.6256	6.2740	22.011	755.72	0.55139	6.7783e-06	0.096211	0.00044239	9.1213	0.10963	369.27	448.20	15.623	7.3532	26.032	379.53	11.241	1.6346e-06	0.035037
29.406	0.73000	56.123	0.017818	114.42	127.43	4.6780	6.2829	22.353	750.69	0.57970	6.7294e-06	0.096030	0.00043025	9.2725	0.10785	368.71	447.44	15.561	7.3695	26.485	379.49	11.179	1.6439e-06	0.035348
29.489	0.74000	55.913	0.017885	115.91	129.15	4.7304	6.2919	22.705	745.65	0.60841	6.6810e-06	0.095848	0.00041828	9.4250	0.10610	368.15	446.66	15.498	7.3859	26.955	379.45	11.118	1.6532e-06	0.035663
29.570	0.75000	55.702	0.017953	117.40	130.87	4.7827	6.3010	23.069	740.61	0.63753	6.6329e-06	0.095664	0.00040649	9.5791	0.10439	367.57	445.86	15.435	7.4025	27.441	379.40	11.057	1.6626e-06	0.035984
29.651	0.76000	55.490	0.018021	118.90	132.60	4.8349	6.3103	23.445	735.56	0.66709	6.5852e-06	0.095479	0.00039487	9.7347	0.10272	366.98	445.05	15.373	7.4191	27.945	379.34	10.996	1.6721e-06	0.036309
29.731	0.77000	55.277	0.018091	120.40	134.33	4.8871	6.3197	23.835	730.51	0.69709	6.5378e-06	0.095294	0.00038342	9.8920	0.10109	366.37	444.21	15.310	7.4359	28.468	379.29	10.935	1.6816e-06	0.036640
29.810	0.78000	55.063	0.018161	121.89	136.06	4.9393	6.3293	24.239	725.44	0.72756	6.4907e-06	0.095107	0.00037215	10.051	0.099494	365.75	443.35	15.248	7.4528	29.012	379.23	10.874	1.6913e-06	0.036976
29.889	0.79000	54.848	0.018232	123.39	137.80	4.9914	6.3391	24.657	720.36	0.75852	6.4439e-06	0.094919	0.00036103	10.211	0.097929	365.11	442.48	15.185	7.4699	29.577	379.16	10.813	1.7010e-06	0.037317
29.967	0.80000	54.632	0.018304	124.90	139.54	5.0435	6.3491	25.092	715.27	0.78998	6.3974e-06	0.094731	0.00035009	10.374	0.096397	364.47	441.58	15.123	7.4870	30.164	379.10	10.753	1.7108e-06	0.037665
30.044	0.81000	54.414	0.018378	126.40	141.29	5.0957	6.3593	25.543	710.17	0.82197	6.3511e-06	0.094541	0.00033931	10.538	0.094895	363.80	440.67	15.060	7.5043	30.776	379.03	10.692	1.7206e-06	0.038019
30.120	0.82000	54.195	0.018452	127.91	143.04	5.1479	6.3697	26.012	705.05	0.85450	6.3051e-06	0.094351	0.00032869	10.704	0.093422	363.12	439.73	14.998	7.5218	31.413	378.95	10.631	1.7306e-06	0.038380
30.196	0.83000	53.975	0.018527	129.43	144.81	5.2002	6.3803	26.500	699.91	0.88760	6.2592e-06	0.094160	0.00031823	10.872	0.091978	362.43	438.77	14.935	7.5394	32.078	378.87	10.570	1.7407e-06	0.038748
30.271	0.84000	53.752	0.018604	130.95	146.57	5.2525	6.3912	27.008	694.77	0.92129	6.2136e-06	0.093968	0.00030794	11.042	0.090561	361.72	437.79	14.873	7.5571	32.772	378.79	10.509	1.7509e-06	0.039124
30.346	0.85000	53.529	0.018682	132.47	148.35	5.3049	6.4023	27.539	689.60	0.95560	6.1681e-06	0.093776	0.00029780	11.215	0.089170	360.99	436.78	14.810	7.5750	33.497	378.71	10.448	1.7612e-06	0.039507
30.419	0.86000	53.303	0.018761	134.00	150.13	5.3574	6.4136	28.093	684.41	0.99055	6.1228e-06	0.093583	0.00028783	11.389	0.087804	360.24	435.76	14.747	7.5931	34.255	378.62	10.386	1.7716e-06	0.039899
30.493	0.87000	53.076	0.018841	135.53	151.92	5.4101	6.4252	28.672	679.21	1.0262	6.0776e-06	0.093390	0.00027801	11.566	0.086462	359.48	434.70	14.684	7.6113	35.050	378.53	10.325	1.7822e-06	0.040299
30.565	0.88000	52.846	0.018923	137.07	153.72	5.4629	6.4372	29.278	673.98	1.0625	6.0325e-06	0.093197	0.00026835	11.745	0.085142	358.70	433.63	14.621	7.6298	35.883	378.44	10.263	1.7929e-06	0.040709
30.637	0.89000	52.615	0.019006	138.62	155.54	5.5159	6.4494	29.914	668.73	1.0995	5.9875e-06	0.093003	0.00025885	11.927	0.083845	357.91	432.53	14.557	7.6483	36.757	378.34	10.201	1.8037e-06	0.041129
30.709	0.90000	52.381	0.019091	140.18	157.36	5.5691	6.4620	30.581	663.46	1.1373	5.9425e-06	0.092810	0.00024951	12.111	0.082569	357.09	431.40	14.493	7.6671	37.676	378.24	10.138	1.8147e-06	0.041559
30.779	0.91000	52.145	0.019177	141.74	159.19	5.6225	6.4748	31.282	658.16	1.1760	5.8976e-06	0.092616	0.00024032	12.298	0.081314	356.25	430.25	14.429	7.6861	38.643	378.14	10.075	1.8259e-06	0.042000
30.850	0.92000	51.907	0.019265	143.31	161.04	5.6762	6.4881	32.019	652.83	1.2154	5.8528e-06	0.092423	0.00023129	12.488	0.080077	355.40	429.07	14.364	7.7053	39.663	378.04	10.012	1.8372e-06	0.042453
30.919	0.93000	51.665	0.019355	144.89	162.90	5.7301	6.5017	32.797	647.48	1.2557	5.8079e-06	0.092231	0.00022243	12.681	0.078859	354.52	427.86	14.300	7.7246	40.738	377.93	9.9484	1.8487e-06	0.042919
30.989	0.94000	51.421	0.019447	146.49	164.77	5.7843	6.5158	33.619	642.10	1.2969	5.7630e-06	0.092040	0.00021372	12.877	0.077659	353.62	426.62	14.234	7.7442	41.875	377.82	9.8841	1.8603e-06	0.043397
