Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
32.502	1.1800	43.905	0.022776	191.68	218.56	7.3174	7.0871	98.822	497.31	2.7577	4.5751e-06	0.090753	5.8628e-05	19.287	0.051848	321.13	382.32	12.356	8.3004	130.76	374.48	7.9879	2.2525e-06	0.063911
32.559	1.1900	43.447	0.023017	194.21	221.60	7.4040	7.1311	108.49	490.12	2.8550	4.5126e-06	0.091235	5.5015e-05	19.698	0.050766	318.91	379.33	12.248	8.3281	143.56	374.32	7.8766	2.2789e-06	0.065718
32.616	1.2000	42.960	0.023277	196.87	224.80	7.4950	7.1786	120.34	482.75	2.9583	4.4473e-06	0.091858	5.1731e-05	20.136	0.049663	316.54	376.14	12.135	8.3561	159.12	374.18	7.7595	2.3072e-06	0.067743
32.673	1.2100	42.442	0.023561	199.67	228.18	7.5914	7.2305	135.16	475.18	3.0684	4.3789e-06	0.092661	4.8800e-05	20.604	0.048533	313.99	372.72	12.015	8.3843	178.43	374.04	7.6354	2.3379e-06	0.070043
32.729	1.2200	41.886	0.023875	202.65	231.78	7.6942	7.2873	154.20	467.38	3.1867	4.3067e-06	0.093697	4.6249e-05	21.111	0.047369	311.23	369.02	11.887	8.4127	202.98	373.91	7.5031	2.3713e-06	0.072698
32.785	1.2300	41.281	0.024224	205.86	235.65	7.8051	7.3504	179.49	459.30	3.3146	4.2298e-06	0.095051	4.4109e-05	21.663	0.046161	308.20	364.98	11.750	8.4410	235.23	373.80	7.3607	2.4083e-06	0.075827
32.840	1.2400	40.616	0.024621	209.35	239.88	7.9263	7.4210	214.58	450.90	3.4543	4.1468e-06	0.096861	4.2412e-05	22.274	0.044895	304.85	360.52	11.600	8.4688	279.37	373.72	7.2058	2.4497e-06	0.079620
32.895	1.2500	39.871	0.025081	213.21	244.56	8.0613	7.5014	266.20	442.09	3.6093	4.0561e-06	0.099367	4.1190e-05	22.963	0.043548	301.07	355.50	11.434	8.4955	343.27	373.69	7.0345	2.4971e-06	0.084393
32.950	1.2600	39.016	0.025630	217.60	249.89	8.2156	7.5950	348.83	432.77	3.7846	3.9545e-06	0.10304	4.0461e-05	23.759	0.042090	296.70	349.73	11.246	8.5198	443.60	373.74	6.8411	2.5530e-06	0.090742
33.004	1.2700	37.996	0.026319	222.78	256.21	8.3991	7.7073	499.85	422.75	3.9897	3.8369e-06	0.10898	4.0182e-05	24.715	0.040461	291.46	342.84	11.024	8.5392	622.61	373.96	6.6152	2.6219e-06	0.099962
33.058	1.2800	36.693	0.027253	229.34	264.22	8.6337	7.8497	851.51	411.66	4.2444	3.6923e-06	0.12042	4.0051e-05	25.948	0.038539	284.74	334.07	10.747	8.5474	1026.5	374.53	6.3349	2.7135e-06	0.11572
