Variable,Einheit,Schrittweite,dP_mfp/P_mfp [%],dP_r/P_r [%],dQ/Q [%]
Q_fohe,\si{\kilo\W},-14.454545454545471,0.11741022047261078,0.11809840017948806,0.11716520634139953
tpr_fohe,-,-0.0050000000000000044,0.6434999293613314,1.5322904724169648,-0.5751082268905728
tpr_phc,-,-0.0020000000000000018,0.24891646784031707,0.5959007471001612,-0.22358439193616322
eta_r,-,-0.06454545454545457,0.017613206254092434,6.532543317670964,-2.3019116264758934
eta_hpfp,-,-0.014000000000000012,10.003096952391198,-0.5119863619692611,-0.3693034602885016
qm_cb0,\si{\kg\per\s},0.010998000000000008,10.129180145084954,10.129936927292734,10.128910706254791
dp_l,\si{\kilo\Pa},26.0,1.7983106064152357,4.2054277218773946,-1.5801931876083295
dp_inj,\si{\kilo\Pa},16.89000000000003,1.1591931724599542,-0.5459652221244646,0.12860580046637507
